date_time,co_sensor,month,week,day,day_of_week,hour,is_weekend,co_sensor_lag_1,co_sensor_lag_2,co_sensor_lag_3,co_sensor_lag_24,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_24,co_sensor_win_mean,co_sensor_win_min,co_sensor_win_max,co_sensor_win_std,humidity_win_mean,humidity_win_min,humidity_win_max,humidity_win_std,month_sin,month_cos,hour_sin,hour_cos
2004-04-05 00:00:00,1065.0,4,15,5,0,0,0,1188.0,1196.0,1113.0,1224.0,60.8,58.8,56.1,56.5,1256.6,1113.0,1420.0,130.0645993343308,53.839999999999996,44.6,60.8,6.854414635838718,0.8660254037844387,-0.49999999999999983,0.0,1.0
2004-04-05 01:00:00,999.0,4,15,5,0,1,0,1065.0,1188.0,1196.0,1215.0,65.8,60.8,58.8,59.2,1185.6,1065.0,1366.0,114.53514744391782,58.08,48.9,65.8,6.239150583212426,0.8660254037844387,-0.49999999999999983,0.2697967711570243,0.9629172873477994
2004-04-05 02:00:00,911.0,4,15,5,0,2,0,999.0,1065.0,1188.0,1115.0,79.2,65.8,60.8,62.4,1112.2,999.0,1196.0,83.3828519541038,64.14,56.1,79.2,9.136082311363001,0.8660254037844387,-0.49999999999999983,0.5195839500354336,0.8544194045464886
2004-04-05 03:00:00,873.0,4,15,5,0,3,0,911.0,999.0,1065.0,1124.0,80.0,79.2,65.8,65.0,1071.8,911.0,1196.0,122.60791165336758,68.91999999999999,58.8,80.0,10.081269761294948,0.8660254037844387,-0.49999999999999983,0.730835964278124,0.6825531432186541
2004-04-05 04:00:00,881.0,4,15,5,0,4,0,873.0,911.0,999.0,1028.0,81.0,80.0,79.2,65.3,1007.2,873.0,1188.0,125.8578563300678,73.36,60.8,81.0,9.373793255667625,0.8660254037844387,-0.49999999999999983,0.8878852184023752,0.4600650377311522
2004-04-05 05:00:00,967.0,4,15,5,0,5,0,881.0,873.0,911.0,1010.0,81.0,81.0,80.0,66.5,945.8,873.0,1065.0,83.28985532464318,77.4,65.8,81.0,6.528399497579773,0.8660254037844387,-0.49999999999999983,0.9790840876823228,0.20345601305263397
2004-04-05 06:00:00,1280.0,4,15,5,0,6,0,967.0,881.0,873.0,1074.0,80.5,81.0,81.0,69.1,926.2,873.0,999.0,54.92904514007129,80.34,79.2,81.0,0.7602631123497694,0.8660254037844387,-0.49999999999999983,0.9976687691905392,-0.06824241336467088
2004-04-05 07:00:00,1564.0,4,15,5,0,7,0,1280.0,967.0,881.0,1034.0,80.8,80.5,81.0,64.8,982.4,873.0,1280.0,170.40481213862475,80.66,80.0,81.0,0.4219004621942936,0.8660254037844387,-0.49999999999999983,0.9422609221188205,-0.33487961217098616
2004-04-05 08:00:00,1505.0,4,15,5,0,8,0,1564.0,1280.0,967.0,1130.0,78.0,80.8,80.5,59.0,1113.0,873.0,1564.0,301.67449345279425,80.26,78.0,81.0,1.2798437404619942,0.8660254037844387,-0.49999999999999983,0.8169698930104421,-0.5766803221148671
2004-04-05 09:00:00,1309.0,4,15,5,0,9,0,1505.0,1564.0,1280.0,1275.0,79.2,78.0,80.8,49.8,1239.4,881.0,1564.0,308.305530278002,79.9,78.0,81.0,1.2727922061356831,0.8660254037844387,-0.49999999999999983,0.631087944326053,-0.7757112907044197
2004-04-05 10:00:00,1035.0,4,15,5,0,10,0,1309.0,1505.0,1564.0,1324.0,70.8,79.2,78.0,40.7,1325.0,967.0,1564.0,234.50266523005655,77.86,70.8,80.8,4.100975493708745,0.8660254037844387,-0.49999999999999983,0.3984010898462418,-0.9172113015054528
2004-04-05 11:00:00,1148.0,4,15,5,0,11,0,1035.0,1309.0,1505.0,1268.0,54.8,70.8,79.2,37.1,1338.6,1035.0,1564.0,209.15138058353804,72.72,54.8,80.8,10.723432286353077,0.8660254037844387,-0.49999999999999983,0.13616664909624665,-0.9906859460363308
2004-04-05 12:00:00,1152.0,4,15,5,0,12,0,1148.0,1035.0,1309.0,1272.0,49.3,54.8,70.8,33.8,1312.2,1035.0,1564.0,226.04579182103785,66.42,49.3,79.2,13.644852509279808,0.8660254037844387,-0.49999999999999983,-0.1361666490962464,-0.9906859460363308
